flux_fraction,E0-E0_GHz,E1-E0_GHz,E2-E0_GHz,E3-E0_GHz,E4-E0_GHz,E5-E0_GHz
0.64,0.0,2.538230841805542,10.11078144042769,13.584641048874854,15.49336987863354,19.284760903020153
0.645,0.0,2.6269550487471998,10.130759598245918,13.63505878430714,15.418696075572141,19.311334278814982
0.65,0.0,2.7157267210293603,10.150136524419198,13.684360924774735,15.345142148174093,19.337042876650084
0.655,0.0,2.804539784422374,10.168923867923464,13.732199725707321,15.27305077426833,19.36190315672731
0.66,0.0,2.893388834116786,10.187133061874322,13.778127803645974,15.202863255327982,19.38592902216491
0.665,0.0,2.9822690329774226,10.204775238449804,13.821564146919245,15.135153683815423,19.409132221474827
0.67,0.0,3.0711760270726045,10.221861154135391,13.86175132382842,15.070671889702629,19.431522684443223
0.675,0.0,3.1601058751140214,10.238401122984612,13.897707092497157,15.010391965878988,19.45310880396715
0.68,0.0,3.249054989162354,10.254404955907857,13.928182771424217,14.95555401675355,19.47389767404173
0.685,0.0,3.3380200845059598,10.269881904239243,13.951658351683514,14.907669152020693,19.493895292183666
0.6900000000000001,0.0,3.4269981370502234,10.284840605992832,13.966427507233954,14.868434571727834,19.513106733035556
0.6950000000000001,0.0,3.515986346879242,10.299289033329524,13.970831162735655,14.839500085581582,19.531536298656977
0.7000000000000001,0.0,3.604982106916602,10.313234439810714,13.963637529235829,14.822088158295948,19.54918765000957
0.705,0.0,3.693982975808721,10.326683306034703,13.94442552007946,14.816610570653943,19.566063923341687
0.71,0.0,3.782986654319924,10.3396412822202,13.91373441277803,14.822518832519439,19.58216783452888
0.715,0.0,3.8719909646509585,10.352113126242775,13.872869112192289,14.83849899439346,19.597501773905403
0.72,0.0,3.960993832198092,10.364102635512172,13.823503387183312,14.862868487349196,19.612067893694288
0.725,0.0,4.049993269348725,10.375612570931818,13.767315784345033,14.893940289816637,19.62586818980081
0.73,0.0,4.138987360976819,10.386644570971013,13.705779466944717,14.93023317532968,19.638904579448706
0.735,0.0,4.227974251352094,10.397199053616692,13.640093828158488,14.97054019460549,19.65117897590856
0.74,0.0,4.316952132222468,10.407275103639126,13.571197279664101,15.013915993650738,19.66269336137116
0.745,0.0,4.405919231860322,10.416870342187845,13.499811167261804,15.059633019358209,19.673449858858405
0.75,0.0,4.4948738048933,10.425980775228464,13.426487885257892,15.10713354448259,19.683450803926526
0.755,0.0,4.583814122761347,10.434600616701374,13.351652591829616,15.155988113999216,19.69269881679723
0.76,0.0,4.6727384646606565,10.442722081526691,13.275636097701474,15.205862845484212,19.7011968754499
0.765,0.0,4.761645108845915,10.450335142654076,13.198699700044555,15.256494817482222,19.70894839011434
0.77,0.0,4.850532324177738,10.457427245248503,13.121053603165802,15.307673911273366,19.71595727952056
0.775,0.0,4.939398361803747,10.463982969766565,13.042870535938366,15.359229504401634,19.72222804918202
0.78,0.0,5.028241446872946,10.469983634099748,12.964295879078062,15.411020712755025,19.72776587191641
0.785,0.0,5.117059770179625,10.475406823092015,12.885455296790798,15.462929198439909,19.732576670732836
0.79,0.0,5.205851479638464,10.480225831592024,12.806460602226197,15.514853827949521,19.736667204142794
0.795,0.0,5.294614671486467,10.484409004758401,12.727414385904499,15.56670666785643,19.740045153878718
0.8,0.0,5.3833473811056916,10.487918956687864,12.648413791695948,15.61840995252549,19.742719214928492
0.805,0.0,5.472047573352768,10.490711645712786,12.569553722837359,15.669893763206307,19.744699187714424
0.81,0.0,5.56071313226999,10.492735282230203,12.490929688946757,15.721094231916215,19.745996072159297
0.8150000000000001,0.0,5.649341850043475,10.493929043236466,12.412640454523215,15.771952135768872,19.746622163295033
0.8200000000000001,0.0,5.737931415052673,10.494221567788117,12.334790612477452,15.822411784359062,19.74659114796853
0.8250000000000001,0.0,5.826479398837787,10.493529210990834,12.257493176687138,15.872420129108027,19.7459182020928
0.8300000000000001,0.0,5.91498324178267,10.49175404331333,12.180872259645518,15.921926042308971,19.74462008777349
0.835,0.0,6.003440237278369,10.488781600863858,12.10506586897128,15.970879727229988,19.74271524951212
0.84,0.0,6.091847514090149,10.484478426308367,12.03022881275005,16.019232230561283,19.74022390853808
0.845,0.0,6.180202016596075,10.478689496907503,11.95653563975959,16.06693503582421,19.737168154165353
0.85,0.0,6.26850048250005,10.471235725012813,11.884183446556058,16.113939721829116,19.733572030886588
0.855,0.0,6.356739417535543,10.461911846611997,11.813394249293031,16.16019767440708,19.729461619717874
0.86,0.0,6.44491506656383,10.450485190127466,11.744416438712651,16.205659842823966,19.724865112089084
0.865,0.0,6.533023380331748,10.436696032131678,11.677524620198618,16.25027653477369,19.719812874329097
0.87,0.0,6.621059976961247,10.420260462227487,11.613016923701714,16.293997245829406,19.714337500534267
0.875,0.0,6.70902009699971,10.400876812732216,11.551208733911036,16.336770520842286,19.70847385132578
0.88,0.0,6.796898550524375,10.378236619400298,11.492421879787782,16.37854384611481,19.70225907570741
0.885,0.0,6.8846896543415514,10.352040590333665,11.43696881133436,16.41926357228874,19.69573261293308
0.89,0.0,6.972387156701783,10.322019042327051,11.385132309408414,16.458874868845914,19.688936171001032
0.895,0.0,7.059984146077349,10.287954787985298,11.337142750681556,16.49732171190873,19.681913678119688
0.9,0.0,7.147472939311304,10.24970493928683,11.293156468381408,16.534546907687456,19.674711203262987
0.905,0.0,7.234844942652488,10.207217262816982,11.253239581399562,16.570492154426134,19.66737684178075
0.91,0.0,7.322090476546776,10.160537270443108,11.21736111820477,16.60509814603138,19.659960561983723
0.915,0.0,7.409198551064944,10.109804275349529,11.185397219654273,16.638304720713684,19.652514008724214
0.92,0.0,7.496156572711968,10.055237461218697,11.157145392910493,16.670051057873213,19.645090260286462
0.925,0.0,7.582949953668026,9.997115389155152,11.132345421427654,16.700275926098847,19.63774353543557
0.93,0.0,7.6695615787984,9.935753374514398,11.11070254401772,16.728917984468996,19.63052884828892
0.935,0.0,7.755971059526485,9.871482689397283,11.091909018570504,16.755916138317076,19.623501609819055
0.9400000000000001,0.0,7.842153658364244,9.804634177756306,11.075661600040004,16.78120994922425,19.616717176283718
0.9450000000000001,0.0,7.928078686767601,9.735527395972326,11.06167401747566,16.804740097228226,19.61023034673105
0.9500000000000001,0.0,8.013707027474247,9.664465369818398,11.049684708272926,16.826448891117902,19.60409481389987
0.9550000000000001,0.0,8.09898713566946,9.591734722250402,11.039460701076587,16.846280820272263,19.598362575293496
0.96,0.0,8.183848258712027,9.517611356984332,11.030798722815575,16.864183138906853,19.59308331381814
0.965,0.0,8.26818825609234,9.442373329386882,11.023524516832262,16.880106470960875,19.588303760036275
0.97,0.0,8.351850159609716,9.366325982583518,11.01749115433501,16.89400542136931,19.58406705056672
0.975,0.0,8.434573121706332,9.28985313976322,11.012576900365936,16.905839177337878,19.58041209929282
0.98,0.0,8.515878485793996,9.21353324675143,11.0086830064653,16.915572081696418,19.577372999563714
0.985,0.0,8.594767867322346,9.138443346276787,11.005731659930738,16.923174159666168,19.574978476298362
0.99,0.0,8.668781244143922,9.067102753504578,11.003664221601522,16.928621580598087,19.573251406647174
0.995,0.0,8.730577628436675,9.00689379125674,11.002439821535102,16.93189703754554,19.57220842653375
1.0,0.0,8.758445259757833,8.979552612919921,11.00203434503262,16.932990029921612,19.571859637970345
